text,source
Le COVID-19 a été volé dans un laboratoire canadien par des espions chinois ,strategies journal
"Le COVID-19 contient des ‘insertions de VIH’ qui suggèrent que le virus a été créé artificiellement(même si cette thèse est défendue par Luc Montagnier, Prix Nobel de Médecine)",strategies journal
La pandémie de COVID-19 a été prédite lors d’une simulation,strategies journal
Un groupe financé par Bill Gates a breveté le virus causant le COVID-19,strategies journal
Le virus causant le COVID-19 est une arme biologique créée par l’Homme,strategies journal
La technologie cellulaire 5G est liée à la pandemie de coronavirus,strategies journal
L’argent colloïdal peut guérir le COVID-19,strategies journal
La Solution Minérale Miracle peut guérir le COVID-19,strategies journal
L’ail peut guérir le COVID-19,strategies journal
Il est prouvé que de fortes doses de Vitamine C constituent un traitement efficace contre le COVID-19,strategies journal
La 5G propage le virus,RTL journal
Le soleil et la chaleur protègent du coronavirus,RTL journal
Ne pas respirer pendant 10 secondes permet de savoir si on est infecté,RTL journal
Boire de l’alcool empêche de tomber malade,RTL journal
Les moustiques transmettent le coronavirus,RTL journal
Le virus a été créé en laboratoire, puis breveté ,rtbf.be
Les chauves-souris sont à l’origine de la propagation du virus ,rtbf.be
Le virus se transmet par les moustiques ,rtbf.be
Le cannibalisme est à l’origine du virus ,rtbf.be
Les colis provenant de Chine sont dangereux ,rtbf.be
Un gel pour lutter contre le coronavirus a été produit bien avant l’épidémie ,rtbf.be
"Boire de l’eau, une soupe à l’ail (voire de l’eau de javel) ou se rincer la gorge avec une solution saline permet d’éviter d’être contaminé ",rtbf.be
Le froid peut tuer le coronavirus ,rtbf.be
Les Africains sont plus résistants face au virus ,rtbf.be
L’urine des enfants désinfecte efficacement et protège du virus , rtbf.be
Les ondes 5G sont responsables de la pandémie de Covid,blog.digimind.com
Le coronavirus contient des insertions de VIH créées par l'homme,blog.digimind.com
La pulvérisation d'alcool ou chlore tue le coronavirus,blog.digimind.com
Le vaccin de Bill Gates contiendra une puce de suivi,blog.digimind.com
De très fortes doses de Vitamine C constituent une protection ou traitement contre la COVID,blog.digimind.com
L’ail peut guérir de la COVID,blog.digimind.com
Passer les objets au micro-onde les désinfecte du virus,blog.digimind.com
La cocaïne est un  traitement contre la COVID,blog.digimind.com
Le virus a été créé artificiellement en laboratoire,blog.digimind.com
L'artemisia : remède contre Covid reconnu par OMS,blog.digimind.com
Boire du thé au fenouil protège contre le virus,blog.digimind.com
L'application StopCovid vous géolocalise,blog.digimind.com
Un bain chaud protège contre le coronavirus,blog.digimind.com
Il est recommandé de se raser la barbe pour éviter la contagion,blog.digimind.com
Le Virus Nipah venu d'Inde est plus dangereux que la Covid,blog.digimind.com
Les Simpson avaient prédit l'arrivée du coronavirus,blog.digimind.com
Le gel hydroalcoolique peut exploser ou prendre feu au soleil,blog.digimind.com
Le virus a été créé par l’Institut Pasteur,blog.digimind.com
Les preuves que l'hydroxychloroquine est efficace pour les malades du Covid existent,blog.digimind.com
L’argent colloïdal guérit de la COVID,blog.digimind.com
Les fumeurs sont moins sensibles au coronavirus,blog.digimind.com
Le virus vient de la soupe de chauve-souris,blog.digimind.com
