text,source
"
La COVID-19 est la maladie causée par un nouveau coronavirus, le SARS-CoV-2. L’OMS a appris l’existence de ce nouveau virus le 31 décembre 2019 lorsqu’un foyer épidémique de cas de « pneumonie
    virale » a été notifié à Wuhan, en République populaire de Chine.
",Organisation mondiale de la santé
"
Les symptômes les plus courants sont les suivants :FièvreToux sècheFatigueD’autres symptômes moins courants peuvent toucher certains patients :Perte du goût et de l’odorat,Congestion nasale,Conjonctivite (yeux rouges),Mal de gorge,Maux de tête,Douleurs musculaires ou articulaires,Différents types d’éruption cutanée,Nausées ou vomissements,Diarrhée,Frissons ou vertiges. Les symptômes de la forme grave de COVID-19 sont les suivants :Essoufflement,Perte d’appétit,État confusionnel,Douleurs ou sensation d’oppression      persistantes dans la poitrine,Température élevée (supérieure à 38° C).D’autres symptômes sont moins courants :Irritabilité,État confusionnel,Altération de la conscience (parfois associée      à des crises),Troubles anxieux,Dépression,Troubles du sommeil,Complications neurologiques plus graves et      plus rares : accidents vasculaires cérébraux, inflammations du      cerveau, délire et lésions nerveuses.Toute personne, quel que soit son âge, qui présente de la fièvre et/ou une toux associée à des difficultés à respirer ou à un essoufflement, des douleurs ou une sensation d’oppression dans la poitrine, ou une perte d’élocution ou de mouvement, doit immédiatement consulter un médecin. Si possible, appelez d’abord votre prestataire de soins de santé, votre ligne d’assistance téléphonique ou votre établissement de santé, afin d’être dirigé vers la structure adéquate.
",Organisation mondiale de la santé
"
Parmi les malades qui développent des symptômes, la plupart (environ 80 %) guérissent sans qu’il soit nécessaire de les hospitaliser. Environ 15 % des patients tombent gravement malades et nécessitent une oxygénothérapie, et 5 % des infections sont critiques et exigent des soins intensifs..Les complications entraînant la mort sont notamment l’insuffisance respiratoire, le syndrome de détresse respiratoire aiguë (SDRA), la septicémie et le choc septique, la thromboembolie et/ou une défaillance multiviscérale,
    provoquant des lésions au cœur, au foie ou aux reins.Dans de rares cas, les enfants peuvent développer un syndrome inflammatoire grave quelques semaines après l’infection.
                            ",Organisation mondiale de la santé
"
Les personnes âgées de 60 ans et plus, ainsi que celles qui souffrent d’autres problèmes de santé (hypertension, problèmes cardiaques ou pulmonaires, diabète, obésité ou cancer) courent
        un risque plus élevé de développer une forme grave de la maladie.Cependant, n’importe qui peut contracter la COVID-19 et tomber gravement malade ou mourir à tout âge. 
",Organisation mondiale de la santé
"
Certaines personnes ayant contracté la COVID-19, que leur état ait nécessité une hospitalisation ou non, continuent de ressentir des symptômes, notamment de la fatigue et des symptômes respiratoires ou neurologiques. L’OMS collabore avec son réseau technique mondial pour la prise en charge clinique de la COVID-19, ainsi qu’avec des chercheurs et des groupes de patients du monde entier afin de concevoir et de mener à bien des études sur des patients au-delà de la phase aiguë de la maladie ; l’objectif est de connaître la proportion de patients qui subissent des effets à long terme, la durée pendant laquelle ces symptômes persistent et les raisons qui expliquent cette persistance. Ces études seront utilisées pour élaborer de nouvelles orientations sur les soins aux patients.  
",Organisation mondiale de la santé
"
                                Pour votre sécurité, prenez quelques précautions simples : respectez la distanciation physique, portez un masque (en particulier lorsqu’il n’est pas possible de respecter la distanciation), veillez à la bonne ventilation des pièces, évitez les foules et les contacts étroits, lavez-vous régulièrement les mains et toussez dans votre coude ou dans un mouchoir. Suivez les recommandations locales en vigueur là où vous vivez et travaillez. Prenez toutes ces précautions ! Pour plus d’informations, consultez notre page de conseils au grand public.
",Organisation mondiale de la santé
"
Quiconque présente des symptômes doit se faire tester, dans la mesure du possible. Les personnes qui ne présentent pas de symptômes, mais qui ont été en contact étroit avec une personne infectée ou susceptible de l’être, peuvent également envisager de se faire tester – consultez et suivez les directives sanitaires locales.   Pendant qu'une personne attend les résultats d'un test, elle doit rester isolée des autres. Lorsque les
capacités de test sont limitées, il faut tester en priorité les personnes les plus exposées au risque d’infection, comme les agents de santé, et les personnes les plus susceptibles de développer une forme
grave de la maladie, comme les personnes âgées, en particulier celles qui vivent dans des résidences pour personnes âgées ou des établissements de soins de longue durée.
",Organisation mondiale de la santé
"
Dans la plupart des cas, un test moléculaire est utilisé pour dépister le SARS-CoV-2 et confirmer l'infection. Le test moléculaire le plus couramment utilisé est le test d’amplification en chaîne par polymérase
(PCR). On effectue un prélèvement dans le nez et/ou la gorge à l’aide d’un écouvillon. Le test moléculaire détecte la présence du virus dans le prélèvement en amplifiant le
matériel génétique viral jusqu’à des niveaux détectables. C’est pourquoi un test moléculaire est utilisé pour confirmer une infection active, généralement quelques jours après
l’exposition et à peu près au moment où les symptômes peuvent apparaître. 
",Organisation mondiale de la santé
"
Les tests antigéniques de diagnostic rapide (également appelés tests de diagnostic rapide ou TDR) détectent les protéines virales (connues sous le nom d’antigènes). Des échantillons sont prélevés
dans le nez et/ou la gorge à l’aide d’un écouvillon. Ces tests sont meilleur marché que les tests PCR et donnent le résultat plus rapidement, mais ils sont généralement moins fiables. Ces tests
sont plus efficaces lorsque le virus circule beaucoup dans une communauté et lorsque l’échantillon est prélevé au moment où la personne est la plus contagieuse. 
",Organisation mondiale de la santé
"
Les tests de recherche d’anticorps peuvent indiquer si une personne a déjà été infectée par le passé, même si elle n’a pas eu de symptômes. Également appelés tests sérologiques et généralement effectués sur un échantillon de sang, ces tests détectent les anticorps produits en réaction à une infection. Chez la plupart des gens, les anticorps commencent à apparaître après quelques jours ou quelques semaines et peuvent indiquer si une personne a déjà été infectée. Ces tests ne peuvent pas être utilisés pour diagnostiquer la COVID-19 aux premiers stades de l’infection ou de la maladie, mais ils peuvent permettre de savoir si une personne a déjà été malade.
",Organisation mondiale de la santé
"
L’isolement et la quarantaine sont deux méthodes permettant de freiner la propagation de la COVID-19.La quarantaine est imposée aux individus ayant été en contact avec une personne infectée par le SARS-CoV-2, virus responsable de la COVID-19, que celle-ci présente des symptômes ou non. Pendant la quarantaine, vous ne rentrez en contact avec personne car vous avez été exposé au virus et que vous avez pu être infecté. La quarantaine peut s’effectuer dans un établissement désigné ou à domicile. Pour la COVID-19, vous devez rester en quarantaine dans l’établissement désigné ou à domicile pendant 14 jours. L’isolement est imposé aux personnes qui présentent des symptômes de la COVID-19 ou qui ont été testées positives. Lorsque vous êtes en isolement, vous ne rentrez en contact avec personne et, dans l’idéal, vous vous rendez dans un établissement médical dans lequel vous pouvez recevoir des soins cliniques. Si vous ne pouvez pas vous isoler dans un établissement médical et que vous n’appartenez pas à un groupe risquant de développer une forme grave de la maladie, l’isolement peut avoir lieu à domicile. Si vous présentez des symptômes, vous devez rester isolé pendant au moins 10 jours, plus 3 jours supplémentaires après la disparition des symptômes. Si vous êtes infecté et que vous ne développez pas de symptômes, vous devez rester isolé pendant 10 jours à partir du test positif.
",Organisation mondiale de la santé
